,OTU,Sample,Abundance,Group,Smple.ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,Ph,TotalN,GravSoilMois,organicmatter,RespiredC,satH,satCa,satMg,satK,satNa,Kingdom,Phylum,Class,Order,Family,Genus,Taxonomy,,,Genus1
49933,Otu013,BDM09160019BF,0.046291209,BDM09160019BF,306,PLA/PHA,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6,22,11.5942029,1.3,6.910266688,14,68,12,5,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49955,Otu013,BDM09150019BF,0.043507746,BDM09150019BF,306,PLA/PHA,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.98,23,7.592589615,1.3,0.982374678,31,52,9,7,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49962,Otu013,BDM09160020BF,0.042164302,BDM09160020BF,307,No Mulch,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.2,13,10.99744246,1.2,9.214743534,39,49,7,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49963,Otu013,BDM05160046BF,0.042129861,BDM05160046BF,305,BioAgri,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.815,NA,12.77777778,NA,3.100253868,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49967,Otu013,BDM09160014BF,0.041579342,BDM09160014BF,207,Polyethylene,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.15,11,6.352941176,1.3,1.881158089,43,48,6,3,0,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49971,Otu013,BDM09150018BF,0.040470125,BDM09150018BF,305,BioAgri,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.645,34,7.81809659,1.5,3.554815248,57,33,6,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49973,Otu013,BDM09160018BF,0.040310885,BDM09160018BF,305,BioAgri,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.6,41,12.44131455,1.4,5.694544872,25,60,10,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49974,Otu013,BDM05160047BF,0.040262799,BDM05160047BF,306,PLA/PHA,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,7.025,NA,12.39669421,NA,3.400088279,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49975,Otu013,BDM05160048BF,0.040042943,BDM05160048BF,307,No Mulch,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.855,NA,9.56284153,NA,2.473600648,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49978,Otu013,BDM09150020BF,0.039703576,BDM09150020BF,307,No Mulch,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.795,9,5.342924525,1.3,2.678001119,33,51,8,5,3,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49980,Otu013,BDM05150019BF,0.039362253,BDM05150019BF,306,PLA/PHA,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.665,23,12.65822785,1.2,3.194189598,29,54,13,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49981,Otu013,BDM09160013BF,0.039167892,BDM09160013BF,206,Naturecycle,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.85,22,12.41534989,1.5,6.538843307,36,53,7,4,0,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49985,Otu013,BDM09150014BF,0.038763893,BDM09150014BF,207,Polyethylene,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.77,10,8.11326229,1.4,2.126025984,51,42,5,2,0,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49987,Otu013,BDM09150005BF,0.038198324,BDM09150005BF,106,No Mulch,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,4.9,26,8.648714843,2.1,4.161709641,62,31,5,2,0,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49990,Otu013,BDM09150021BF,0.037176881,BDM09150021BF,308,Organix,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.455,18,6.945678435,1.5,2.465492948,56,36,4,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49991,Otu013,BDM05160033BF,0.037157116,BDM05160033BF,106,No Mulch,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.33,NA,15.29745042,NA,4.277650503,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49992,Otu013,BDM05160042BF,0.036976102,BDM05160042BF,207,Polyethylene,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.68,NA,11.29476584,NA,1.428191409,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49993,Otu013,BDM09150013BF,0.03683202,BDM09150013BF,206,Naturecycle,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,5.635,30,7.38246724,1.7,4.205137418,58,36,4,2,0,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49995,Otu013,BDM09160021BF,0.036713258,BDM09160021BF,308,Organix,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.85,22,11.81102362,1.5,7.294172905,50,39,5,5,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
49996,Otu013,BDM05150013BF,0.036561574,BDM05150013BF,206,Naturecycle,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.285,44,14.81108312,1.5,3.081614173,16,69,11,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50000,Otu013,BDM05150014BF,0.035957142,BDM05150014BF,207,Polyethylene,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.68,32,12.97297297,1.2,2.031066566,48,41,7,3,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50001,Otu013,BDM09160005BF,0.034931975,BDM09160005BF,106,No Mulch,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.05,43,12.95843521,1.7,10.45869367,36,51,7,5,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50002,Otu013,BDM05150018BF,0.034647685,BDM05150018BF,305,BioAgri,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,6.085,25,13.89172625,1.3,58.71768632,29,57,11,2,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50004,Otu013,BDM09160007BF,0.034179007,BDM09160007BF,108,Polyethylene,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.25,18,6.796116505,1.6,3.419081186,43,46,5,5,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50005,Otu013,BDM05160041BF,0.034103482,BDM05160041BF,206,Naturecycle,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,6.865,NA,14.64788732,NA,3.720813535,NA,NA,NA,NA,NA,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
50006,Otu013,BDM05150021BF,0.033706406,BDM05150021BF,308,Organix,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.07,34,12.45972073,1.4,6.542633109,36,52,7,4,1,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16,Gp16 (Phylum: Acidobacteria),,,Gp16
