"","Group","mean","sd","measure","Smple.ID","Treatment","Rep","Year_Month","Season","Location","Season_Location","Season_Year_Location","Year","soilph","solsalt","om","no3ppm","brayp","exk","exca","exmg","exna","cec","eea.cn","eea.cp","TotalN","GSM","ResC"
"1","BDM09160001BF",320.87,4.01173782842802,"Richness",101,"Weedguard",1,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.4,0.38,1.5,17.1,104,118,510,53,13,10.4,0.548,0.625,41,12.15277778,13.16544047
"2","BDM09160001BF",12.9471294118254,0.169929262889551,"Inverse Simpson",101,"Weedguard",1,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.4,0.38,1.5,17.1,104,118,510,53,13,10.4,0.548,0.625,41,12.15277778,13.16544047
"3","BDM09160002BF",306.81,3.83944177339794,"Richness",102,"BioAgri",1,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.4,0.48,1.3,27.7,136,161,660,59,16,9.3,0.595,0.78,66,9.73871734,11.76406287
"4","BDM09160002BF",9.98008104276638,0.104575274001159,"Inverse Simpson",102,"BioAgri",1,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.4,0.48,1.3,27.7,136,161,660,59,16,9.3,0.595,0.78,66,9.73871734,11.76406287
"5","BDM09160003BF",297.98,4.23782867978307,"Richness",103,"PLA/PHA",1,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.3,0.3,1.5,14.5,134,89,570,57,12,9.6,0.515,0.641,35,8.8,3.830969423
"6","BDM09160003BF",11.8385159581801,0.134760628230345,"Inverse Simpson",103,"PLA/PHA",1,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.3,0.3,1.5,14.5,134,89,570,57,12,9.6,0.515,0.641,35,8.8,3.830969423
"7","BDM09160004BF",10.4344318764119,0.12499196750022,"Inverse Simpson",105,"Naturecycle",1,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.3,0.44,1.6,24.1,108,139,740,73,15,9.7,0.506,0.643,58,11.26436782,4.478736497
"8","BDM09160004BF",305.34,4.47037385732362,"Richness",105,"Naturecycle",1,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.3,0.44,1.6,24.1,108,139,740,73,15,9.7,0.506,0.643,58,11.26436782,4.478736497
"9","BDM09160005BF",10.5728578069993,0.113581678910324,"Inverse Simpson",106,"No Mulch",1,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6,0.38,1.7,17.8,94,173,860,69,10,8.4,0.538,0.676,43,12.95843521,10.45869367
"10","BDM09160005BF",317.5,4.53827716165062,"Richness",106,"No Mulch",1,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6,0.38,1.7,17.8,94,173,860,69,10,8.4,0.538,0.676,43,12.95843521,10.45869367
"11","BDM09160006BF",304.15,4.19806352664385,"Richness",107,"Organix",1,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6,0.36,1.5,12,93,114,700,58,11,8.3,0.562,0.673,29,10.77348066,7.504353114
"12","BDM09160006BF",8.90541174574067,0.0905096654252516,"Inverse Simpson",107,"Organix",1,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6,0.36,1.5,12,93,114,700,58,11,8.3,0.562,0.673,29,10.77348066,7.504353114
"13","BDM09160007BF",300.51,4.91029633535595,"Richness",108,"Polyethylene",1,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6.1,0.26,1.6,7.4,105,133,660,43,10,7,0.597,0.735,18,6.796116505,3.419081186
"14","BDM09160007BF",9.0798995665068,0.0841657536288109,"Inverse Simpson",108,"Polyethylene",1,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6.1,0.26,1.6,7.4,105,133,660,43,10,7,0.597,0.735,18,6.796116505,3.419081186
"15","BDM09160008BF",9.39631240260298,0.106456422661117,"Inverse Simpson",201,"PLA/PHA",2,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.3,0.38,1.7,12.5,60,120,650,68,14,8.2,0.548,0.655,30,9.635416667,10.68624742
"16","BDM09160008BF",296.6,4.14387707005374,"Richness",201,"PLA/PHA",2,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.3,0.38,1.7,12.5,60,120,650,68,14,8.2,0.548,0.655,30,9.635416667,10.68624742
"17","BDM09160009BF",9.68617065360403,0.12495091770515,"Inverse Simpson",202,"No Mulch",2,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.9,0.34,1.4,8.7,116,109,800,91,11,7.1,0.603,0.74,21,11.45038168,7.863050937
"18","BDM09160009BF",308.2,4.29469957557504,"Richness",202,"No Mulch",2,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.9,0.34,1.4,8.7,116,109,800,91,11,7.1,0.603,0.74,21,11.45038168,7.863050937
"19","BDM09160010BF",298.19,3.99417505167642,"Richness",203,"Weedguard",2,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.7,0.34,1.4,10.3,108,115,580,63,13,5.8,0.611,0.756,25,11.95402299,8.440390176
"20","BDM09160010BF",10.2527504664237,0.122561514616748,"Inverse Simpson",203,"Weedguard",2,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.7,0.34,1.4,10.3,108,115,580,63,13,5.8,0.611,0.756,25,11.95402299,8.440390176
"21","BDM09160011BF",306.5,3.94789292988786,"Richness",204,"BioAgri",2,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.4,0.44,1.4,16,92,82,510,52,13,9.3,0.555,0.697,38,11.35802469,6.877378118
"22","BDM09160011BF",11.0240791189634,0.113784047736876,"Inverse Simpson",204,"BioAgri",2,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.4,0.44,1.4,16,92,82,510,52,13,9.3,0.555,0.697,38,11.35802469,6.877378118
"23","BDM09160012BF",9.77193870357788,0.106756415346018,"Inverse Simpson",205,"Organix",2,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.6,0.26,1.4,12,103,118,710,67,14,10.5,0.62,0.787,29,11.87335092,6.337790958
"24","BDM09160012BF",311.08,4.3546793594055,"Richness",205,"Organix",2,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.6,0.26,1.4,12,103,118,710,67,14,10.5,0.62,0.787,29,11.87335092,6.337790958
"25","BDM09160013BF",10.0525195436103,0.0969135810628384,"Inverse Simpson",206,"Naturecycle",2,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6.3,0.28,1.5,9.1,84,118,890,69,8,8.4,0.611,0.806,22,12.41534989,6.538843307
"26","BDM09160013BF",314.61,4.14362111680061,"Richness",206,"Naturecycle",2,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6.3,0.28,1.5,9.1,84,118,890,69,8,8.4,0.611,0.806,22,12.41534989,6.538843307
"27","BDM09160014BF",277.75,4.73409084847515,"Richness",207,"Polyethylene",2,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6.3,0.18,1.3,4.5,96,96,880,61,10,9.2,0.581,0.721,11,6.352941176,1.881158089
"28","BDM09160014BF",7.9218981901019,0.0725443261506966,"Inverse Simpson",207,"Polyethylene",2,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,6.3,0.18,1.3,4.5,96,96,880,61,10,9.2,0.581,0.721,11,6.352941176,1.881158089
"29","BDM09160015BF",307.92,3.43093473142716,"Richness",301,"Naturecycle",3,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.4,0.38,1.6,13.8,40,86,670,87,13,9.4,0.636,0.761,33,11.98979592,7.105386058
"30","BDM09160015BF",11.107248961327,0.120881618903581,"Inverse Simpson",301,"Naturecycle",3,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.4,0.38,1.6,13.8,40,86,670,87,13,9.4,0.636,0.761,33,11.98979592,7.105386058
"31","BDM09160016BF",287.91,3.96727777314533,"Richness",302,"Weedguard",3,"2016-09","Fall2016","TN","FallTN","09-2016TN",2016,5.7,0.34,1.4,8.5,56,84,710,105,13,7.7,0.531,0.637,20,14.03940887,5.766718983
