"","Group","mean","sd","measure","Smple.ID","Treatment","Rep","Year_Month","Season","Location","Season_Location","Season_Year_Location","Year","soilph","solsalt","om","no3ppm","brayp","exk","exca","exmg","exna","cec","eea.cn","eea.cp","TotalN","GSM","ResC"
"43","BDM09160029BF",11.4194642998433,0.120963003473576,"Inverse Simpson",101,"Weedguard",1,"2016-09","Fall2016","WA","FallWA","09-2016WA",2016,5.6,0.32,2.1,13.9,87,134,790,87,22,11.1,0.694,0.812,NA,20.13638989,6.735630879
"44","BDM09160029BF",293.66,3.6465564218004,"Richness",101,"Weedguard",1,"2016-09","Fall2016","WA","FallWA","09-2016WA",2016,5.6,0.32,2.1,13.9,87,134,790,87,22,11.1,0.694,0.812,NA,20.13638989,6.735630879
"45","BDM09160030BF",284.42,3.29425579032977,"Richness",102,"BioAgri",1,"2016-09","Fall2016","WA","FallWA","09-2016WA",2016,5.4,0.44,2.3,17.8,98,118,960,94,26,12,0.701,0.866,NA,21.53110048,5.820360151
"46","BDM09160030BF",10.4312386253244,0.10560296500039,"Inverse Simpson",102,"BioAgri",1,"2016-09","Fall2016","WA","FallWA","09-2016WA",2016,5.4,0.44,2.3,17.8,98,118,960,94,26,12,0.701,0.866,NA,21.53110048,5.820360151
"47","BDM09160031BF",287.93,4.61935978772869,"Richness",103,"PLA/PHA",1,"2016-09","Fall2016","WA","FallWA","09-2016WA",2016,5.4,0.4,2.2,12.2,96,105,870,96,25,12.5,0.687,0.813,NA,20.95616024,6.355156447
"48","BDM09160031BF",9.75160301715823,0.100866121309035,"Inverse Simpson",103,"PLA/PHA",1,"2016-09","Fall2016","WA","FallWA","09-2016WA",2016,5.4,0.4,2.2,12.2,96,105,870,96,25,12.5,0.687,0.813,NA,20.95616024,6.355156447
"49","BDM09160032BF",9.4290357914229,0.0884144913435482,"Inverse Simpson",105,"Naturecycle",1,"2016-09","Fall2016","WA","FallWA","09-2016WA",2016,5.6,0.34,2.3,8,93,109,830,89,25,10.3,0.72,0.826,NA,20.07844646,0.559185467
"50","BDM09160032BF",287.6,3.673547263198,"Richness",105,"Naturecycle",1,"2016-09","Fall2016","WA","FallWA","09-2016WA",2016,5.6,0.34,2.3,8,93,109,830,89,25,10.3,0.72,0.826,NA,20.07844646,0.559185467
"51","BDM09160033BF",10.1649304954015,0.117314852194136,"Inverse Simpson",106,"No Mulch",1,"2016-09","Fall2016","WA","FallWA","09-2016WA",2016,5.7,0.38,2.2,12,102,97,790,82,16,10,0.785,0.915,NA,16.38783364,6.052971634
"52","BDM09160033BF",300.04,3.51309239585556,"Richness",106,"No Mulch",1,"2016-09","Fall2016","WA","FallWA","09-2016WA",2016,5.7,0.38,2.2,12,102,97,790,82,16,10,0.785,0.915,NA,16.38783364,6.052971634
"53","BDM09160034BF",299.72,3.72564142670816,"Richness",107,"Organix",1,"2016-09","Fall2016","WA","FallWA","09-2016WA",2016,5.7,0.26,2.1,7.2,96,101,870,86,23,10.4,0.73,0.808,NA,20.16183375,6.402647654
"54","BDM09160034BF",11.1656664099718,0.136111676119262,"Inverse Simpson",107,"Organix",1,"2016-09","Fall2016","WA","FallWA","09-2016WA",2016,5.7,0.26,2.1,7.2,96,101,870,86,23,10.4,0.73,0.808,NA,20.16183375,6.402647654
"55","BDM09160035BF",285.42,3.34597602435456,"Richness",108,"Polyethylene",1,"2016-09","Fall2016","WA","FallWA","09-2016WA",2016,5.5,0.32,2.1,11.4,92,86,830,89,33,10.3,0.735,0.801,NA,18.48406008,5.049480194
