"","Treatment","Year_Month","measure","mean_update"
"1","BioAgri","Spring2015","Richness",315.443333333333
"2","BioAgri","Spring2015","Inverse Simpson",10.1647885434932
"3","Naturecycle","Spring2015","Richness",309.29
"4","Naturecycle","Spring2015","Inverse Simpson",10.5314001271164
"5","No Mulch","Spring2015","Richness",305.6
"6","No Mulch","Spring2015","Inverse Simpson",9.96268639322645
"7","Organix","Spring2015","Richness",304.786666666667
"8","Organix","Spring2015","Inverse Simpson",9.23881056917617
"9","PLA/PHA","Spring2015","Richness",298.236666666667
"10","PLA/PHA","Spring2015","Inverse Simpson",10.3128455902499
"11","Polyethylene","Spring2015","Richness",286.203333333333
"12","Polyethylene","Spring2015","Inverse Simpson",8.77556600191264
"13","Weedguard","Spring2015","Richness",302.323333333333
"14","Weedguard","Spring2015","Inverse Simpson",11.0197162370419
