"","Treatment","Year_Month","measure","mean_update"
"1","BioAgri","Spring2015","Richness",283.99
"2","BioAgri","Spring2015","Inverse Simpson",10.3202478297842
"3","Naturecycle","Spring2015","Richness",291.336666666667
"4","Naturecycle","Spring2015","Inverse Simpson",9.52213531303013
"5","No Mulch","Spring2015","Richness",289.7
"6","No Mulch","Spring2015","Inverse Simpson",10.1159249101235
"7","Organix","Spring2015","Richness",288.873333333333
"8","Organix","Spring2015","Inverse Simpson",9.48248053008789
"9","PLA/PHA","Spring2015","Richness",292.256666666667
"10","PLA/PHA","Spring2015","Inverse Simpson",10.319630546782
"11","Polyethylene","Spring2015","Richness",287.736666666667
"12","Polyethylene","Spring2015","Inverse Simpson",10.6365725389625
"13","Weedguard","Spring2015","Richness",290.1
"14","Weedguard","Spring2015","Inverse Simpson",11.4446573732858
