,OTU,Sample,mean_abundance,Group,Smple.ID,Treatment,Rep,Year_Month,Season,Location,Kingdom,Phylum,Class
3025,Otu002,BDM05150019BF,0.077940522,BDM05150019BF,306,PLA/PHA,3,2015-05,Spring2015,TN,Bacteria,Acidobacteria,Acidobacteria_Gp6
3031,Otu002,BDM09150044BF,0.07327241,BDM09150044BF,302,Weedguard,3,2015-09,Fall2015,WA,Bacteria,Acidobacteria,Acidobacteria_Gp6
10081,Otu003,BDM09150008BF,0.084642256,BDM09150008BF,201,PLA/PHA,2,2015-09,Fall2015,TN,Bacteria,Planctomycetes,Planctomycetacia
10162,Otu003,BDM05160010BF,0.052144756,BDM05160010BF,203,Weedguard,2,2016-05,Spring2016,WA,Bacteria,Planctomycetes,Planctomycetacia
2689,Otu004,BDM05150020BF,0.065991247,BDM05150020BF,307,No Mulch,3,2015-05,Spring2015,TN,Bacteria,Acidobacteria,Acidobacteria_Gp4
2690,Otu004,BDM05150049BF,0.081031695,BDM05150049BF,308,Organix,3,2015-05,Spring2015,WA,Bacteria,Acidobacteria,Acidobacteria_Gp4
5900,Otu005,BDM09160001BF,0.031758374,BDM09160001BF,101,Weedguard,1,2016-09,Fall2016,TN,Bacteria,Proteobacteria,Betaproteobacteria
5881,Otu005,BDM09160047BF,0.043090758,BDM09160047BF,306,PLA/PHA,3,2016-09,Fall2016,WA,Bacteria,Proteobacteria,Betaproteobacteria
3697,Otu008,BDM09160017BF,0.102492873,BDM09160017BF,304,Polyethylene,3,2016-09,Fall2016,TN,Bacteria,Actinobacteria,Actinobacteria
3722,Otu008,BDM09160038BF,0.06944203,BDM09160038BF,203,Weedguard,2,2016-09,Fall2016,WA,Bacteria,Actinobacteria,Actinobacteria
8408,Otu010,BDM09150017BF,0.011681741,BDM09150017BF,304,Polyethylene,3,2015-09,Fall2015,TN,Bacteria,Gemmatimonadetes,Gemmatimonadetes
8401,Otu010,BDM09160037BF,0.015950108,BDM09160037BF,202,No Mulch,2,2016-09,Fall2016,WA,Bacteria,Gemmatimonadetes,Gemmatimonadetes
3865,Otu012,BDM09160001BF,0.073382349,BDM09160001BF,101,Weedguard,1,2016-09,Fall2016,TN,Bacteria,Proteobacteria,Alphaproteobacteria
3867,Otu012,BDM09160045BF,0.076514887,BDM09160045BF,304,Polyethylene,3,2016-09,Fall2016,WA,Bacteria,Proteobacteria,Alphaproteobacteria
1213,Otu013,BDM09160019BF,0.029123098,BDM09160019BF,306,PLA/PHA,3,2016-09,Fall2016,TN,Bacteria,Acidobacteria,Acidobacteria_Gp16
1177,Otu013,BDM05160004BF,0.045314408,BDM05160004BF,105,Naturecycle,1,2016-05,Spring2016,WA,Bacteria,Acidobacteria,Acidobacteria_Gp16
10585,Otu014,BDM05150008BF,0.039235788,BDM05150008BF,201,PLA/PHA,2,2015-05,Spring2015,TN,Bacteria,Verrucomicrobia,Spartobacteria
10661,Otu014,BDM05150038BF,0.013842641,BDM05150038BF,203,Weedguard,2,2015-05,Spring2015,WA,Bacteria,Verrucomicrobia,Spartobacteria
3277,Otu016,BDM05150008BF,0.012351962,BDM05150008BF,201,PLA/PHA,2,2015-05,Spring2015,TN,Bacteria,Acidobacteria,Acidobacteria_Gp7
3193,Otu016,BDM05150044BF,0.054869792,BDM05150044BF,302,Weedguard,3,2015-05,Spring2015,WA,Bacteria,Acidobacteria,Acidobacteria_Gp7
10756,Otu019,BDM09150019BF,0.010426679,BDM09150019BF,306,PLA/PHA,3,2015-09,Fall2015,TN,Bacteria,Bacteroidetes,Sphingobacteria
10753,Otu019,BDM05150048BF,0.013489566,BDM05150048BF,307,No Mulch,3,2015-05,Spring2015,WA,Bacteria,Bacteroidetes,Sphingobacteria
5041,Otu025,BDM09160003BF,0.030469089,BDM09160003BF,103,PLA/PHA,1,2016-09,Fall2016,TN,Bacteria,Firmicutes,Bacilli
5057,Otu025,BDM09160047BF,0.022041588,BDM09160047BF,306,PLA/PHA,3,2016-09,Fall2016,WA,Bacteria,Firmicutes,Bacilli
8283,Otu045,BDM09160001BF,0.01419443,BDM09160001BF,101,Weedguard,1,2016-09,Fall2016,TN,Bacteria,Proteobacteria,Gammaproteobacteria
8233,Otu045,BDM09160038BF,0.031607067,BDM09160038BF,203,Weedguard,2,2016-09,Fall2016,WA,Bacteria,Proteobacteria,Gammaproteobacteria
