,OTU,Sample,Abundance,Group,Smple.ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,Kingdom,Phylum,Class
3025,Otu002,BDM05150019BF,0.138378714,BDM05150019BF,306,PLA/PHA,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3026,Otu002,BDM05150014BF,0.129582921,BDM05150014BF,207,Polyethylene,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3027,Otu002,BDM05150013BF,0.120426793,BDM05150013BF,206,Naturecycle,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3028,Otu002,BDM05150020BF,0.116416516,BDM05150020BF,307,No Mulch,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3029,Otu002,BDM05160047BF,0.114962192,BDM05160047BF,306,PLA/PHA,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3030,Otu002,BDM05150006BF,0.110832958,BDM05150006BF,107,Organix,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3032,Otu002,BDM05150004BF,0.108396554,BDM05150004BF,105,Naturecycle,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3033,Otu002,BDM05150018BF,0.106794808,BDM05150018BF,305,BioAgri,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3034,Otu002,BDM05160042BF,0.106703661,BDM05160042BF,207,Polyethylene,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3035,Otu002,BDM05160041BF,0.102583794,BDM05160041BF,206,Naturecycle,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3036,Otu002,BDM05150021BF,0.102223281,BDM05150021BF,308,Organix,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3037,Otu002,BDM05150012BF,0.101291717,BDM05150012BF,205,Organix,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3038,Otu002,BDM05160048BF,0.100804561,BDM05160048BF,307,No Mulch,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3039,Otu002,BDM05150005BF,0.099331169,BDM05150005BF,106,No Mulch,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3040,Otu002,BDM09150014BF,0.099213879,BDM09150014BF,207,Polyethylene,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3041,Otu002,BDM05150002BF,0.09787347,BDM05150002BF,102,BioAgri,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3042,Otu002,BDM05150007BF,0.09776704,BDM05150007BF,108,Polyethylene,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3043,Otu002,BDM09160013BF,0.096288272,BDM09160013BF,206,Naturecycle,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3045,Otu002,BDM05150017BF,0.09548764,BDM05150017BF,304,Polyethylene,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3046,Otu002,BDM09160019BF,0.095436508,BDM09160019BF,306,PLA/PHA,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3050,Otu002,BDM05160034BF,0.094080714,BDM05160034BF,107,Organix,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3054,Otu002,BDM09150019BF,0.092906945,BDM09150019BF,306,PLA/PHA,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3055,Otu002,BDM09160018BF,0.092702364,BDM09160018BF,305,BioAgri,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
