Group,Smple ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,soilph,solsalt,om,no3ppm,brayp,exk,exca,exmg,exna,cec,eea.cn,eea.cp,TotalN,GSM,ResC
BDM05150001BF,101,Weedguard,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.7,0.44,1.5,24.1,119,84,510,69,16,7.4,0.665,0.758,58,13.74331551,6.416718599
BDM05150002BF,102,BioAgri,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.4,0.48,1.5,35.6,135,70,440,58,13,8.9,0.682,0.821,85,15.27777778,10.30068473
BDM05150003BF,103,PLA/PHA,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.6,0.4,1.5,27.7,127,112,510,77,15,6.5,0.671,0.796,66,15.31850354,2.706314843
BDM05150004BF,105,Naturecycle,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.8,0.4,1.7,19.4,90,97,540,76,14,6.6,0.630,0.761,47,16.46205357,8.6277387
BDM05150005BF,106,No Mulch,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.8,0.6,1.9,40.4,100,129,720,85,18,8.7,0.660,0.830,97,15.67010309,1.385787126
BDM05150006BF,107,Organix,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,6.2,0.4,1.4,22.8,96,124,620,65,20,8,0.666,0.832,55,11.75540327,9.054453677
BDM05150007BF,108,Polyethylene,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.9,0.44,1.7,33.3,99,158,600,70,15,6.1,0.701,0.882,80,15.78666667,18.84867996
BDM05150008BF,201,PLA/PHA,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.3,0.48,1.6,37.6,40,36,520,72,7,9.3,0.693,0.831,90,19.36205932,10.61460979
BDM05150009BF,202,No Mulch,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,6,0.26,1.3,8.8,111,39,690,93,11,9.4,0.662,0.801,21,13.19742489,5.137262248
BDM05150010BF,203,Weedguard,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.8,0.34,1.3,12.8,94,71,550,90,16,7.8,0.672,0.855,31,13.21230459,9.253682798
BDM05150011BF,204,BioAgri,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.6,0.4,1.4,23.9,91,62,450,63,11,8,0.677,0.795,57,13.22272499,7.508101571
BDM05150012BF,205,Organix,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,6,0.42,1.6,25.9,84,89,620,72,10,7,0.655,0.809,62,15.64738292,7.528852665
BDM05150013BF,206,Naturecycle,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,6.5,0.38,1.5,18.5,79,78,830,79,13,6.1,0.619,0.792,44,14.81108312,3.081614173
BDM05150014BF,207,Polyethylene,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,6.5,0.34,1.2,13.2,48,98,680,71,14,8.3,0.656,0.891,32,12.97297297,2.031066566
BDM05150015BF,301,Naturecycle,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.6,0.42,1.5,17.9,27,50,580,101,16,7.9,0.681,0.773,43,14.68955073,4.709934639
BDM05150016BF,302,Weedguard,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,5.9,0.32,1.3,14.8,44,66,640,113,17,7.4,0.678,0.778,36,13.85444744,4.476142285
BDM05150017BF,304,Polyethylene,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,6.1,0.3,1.2,13.3,64,51,530,55,11,4.3,0.666,0.794,32,13.31236897,4.771065381
BDM05150018BF,305,BioAgri,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,6.6,0.3,1.3,10.5,39,63,760,91,10,6.8,0.625,0.811,25,13.89172625,58.71768632
BDM05150019BF,306,PLA/PHA,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,6.8,0.3,1.2,9.7,42,67,720,108,19,6.8,0.636,0.820,23,12.65822785,3.194189598
BDM05150020BF,307,No Mulch,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,6.3,0.38,1.2,18.5,70,93,670,87,20,7.4,0.643,0.814,44,11.95097038,4.254159679
BDM05150021BF,308,Organix,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,6.2,0.34,1.4,14.3,80,87,560,48,11,5.5,0.651,0.805,34,12.45972073,6.542633109
BDM05160029BF,101,Weedguard,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,5.7,0.18,1.4,2.9,97,61,440,44,7,5.8,0.644,0.786,7,13.61111111,5.095171454
BDM05160030BF,102,BioAgri,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,5.9,0.2,1.3,2.1,135,61,450,43,5,4.8,0.702,0.753,5,13.8028169,6.596229766
BDM05160031BF,103,PLA/PHA,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,5.7,0.24,1.4,2.7,123,84,530,61,16,6.4,0.683,0.725,6,12.15469613,8.138756816
