Group,Smple ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,Ph,TotalN,GravSoilMois,organicmatter,RespiredC,satH,satCa,satMg,satK,satNa
BDM05150001BF,101,Weedguard,1,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,4.49,58,13.74331551,1.5,6.416718599,54,34,8,3,1
BDM05150002BF,102,BioAgri,1,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,4.86,85,15.27777778,1.5,10.30068473,67,25,5,2,1
BDM05150003BF,103,PLA/PHA,1,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,4.605,66,15.31850354,1.5,2.706314843,46,39,10,4,1
BDM05150004BF,105,Naturecycle,1,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,4.62,47,16.46205357,1.7,8.6277387,45,40,10,4,1
BDM05150005BF,106,No Mulch,1,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,5.215,97,15.67010309,1.9,1.385787126,46,41,8,4,1
BDM05150006BF,107,Organix,1,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,5.18,55,11.75540327,1.4,9.054453677,50,38,7,4,1
BDM05150007BF,108,Polyethylene,1,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,5.13,80,15.78666667,1.7,18.84867996,33,49,10,7,1
BDM05150008BF,201,PLA/PHA,2,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,3.995,90,19.36205932,1.6,10.61460979,65,28,6,1,0
BDM05150009BF,202,No Mulch,2,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,4.4,21,13.19742489,1.3,5.137262248,53,37,8,1,1
BDM05150010BF,203,Weedguard,2,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,4.61,31,13.21230459,1.3,9.253682798,51,36,10,2,1
BDM05150011BF,204,BioAgri,2,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,4.71,57,13.22272499,1.4,7.508101571,63,27,7,2,1
BDM05150012BF,205,Organix,2,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,5.355,62,15.64738292,1.6,7.528852665,43,44,9,3,1
BDM05150013BF,206,Naturecycle,2,2015-05,Spring,TN,SpringTN,Spring2015TN,2015,5.285,44,14.81108312,1.5,3.081614173,16,69,11,3,1
