Group,Smple ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,soilph,solsalt,om,no3ppm,brayp,exk,exca,exmg,exna,cec,eea.cn,eea.cp,TotalN,GSM,ResC
BDM09160001BF,101,Weedguard,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.4,0.38,1.5,17.1,104,118,510,53,13,10.4,0.548,0.625,41,12.15277778,13.16544047
BDM09160002BF,102,BioAgri,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.4,0.48,1.3,27.7,136,161,660,59,16,9.3,0.595,0.78,66,9.73871734,11.76406287
BDM09160003BF,103,PLA/PHA,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.3,0.3,1.5,14.5,134,89,570,57,12,9.6,0.515,0.641,35,8.8,3.830969423
BDM09160004BF,105,Naturecycle,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.3,0.44,1.6,24.1,108,139,740,73,15,9.7,0.506,0.643,58,11.26436782,4.478736497
BDM09160005BF,106,No Mulch,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6,0.38,1.7,17.8,94,173,860,69,10,8.4,0.538,0.676,43,12.95843521,10.45869367
BDM09160006BF,107,Organix,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6,0.36,1.5,12,93,114,700,58,11,8.3,0.562,0.673,29,10.77348066,7.504353114
BDM09160007BF,108,Polyethylene,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,6.1,0.26,1.6,7.4,105,133,660,43,10,7,0.597,0.735,18,6.796116505,3.419081186
BDM09160008BF,201,PLA/PHA,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.3,0.38,1.7,12.5,60,120,650,68,14,8.2,0.548,0.655,30,9.635416667,10.68624742
BDM09160009BF,202,No Mulch,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.9,0.34,1.4,8.7,116,109,800,91,11,7.1,0.603,0.74,21,11.45038168,7.863050937
BDM09160010BF,203,Weedguard,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,5.7,0.34,1.4,10.3,108,115,580,63,13,5.8,0.611,0.756,25,11.95402299,8.440390176
