Treatment,Rep,Time,Location,mean,se
BioAgri,1,Spring 2015,TN,281.5366667,5.432854785
Naturecycle,1,Spring 2015,TN,269.0433333,4.748832605
No Mulch,1,Spring 2015,TN,268.1033333,6.960398296
Organix,1,Spring 2015,TN,277.05,5.380904509
PLA/PHA,1,Spring 2015,TN,265.5733333,4.13313978
Polyethylene,1,Spring 2015,TN,282.8966667,8.438369379
Weedguard,1,Spring 2015,TN,273.2433333,2.659951963
BioAgri,1,Spring 2015,WA,271.7166667,3.995736617
Naturecycle,1,Spring 2015,WA,273.38,3.300701946
No Mulch,1,Spring 2015,WA,273.6466667,3.367933755
Organix,1,Spring 2015,WA,270.1833333,1.933186776
PLA/PHA,1,Spring 2015,WA,273.2966667,5.893186273
Polyethylene,1,Spring 2015,WA,277.6033333,2.192786153
Weedguard,1,Spring 2015,WA,275.19,6.929944685
BioAgri,1,Fall 2015,TN,280.2166667,14.30166929
Naturecycle,1,Fall 2015,TN,281.3466667,10.04279565
No Mulch,1,Fall 2015,TN,292.64,7.441883722
Organix,1,Fall 2015,TN,271.44,5.993182238
PLA/PHA,1,Fall 2015,TN,267.8233333,7.443631133
Polyethylene,1,Fall 2015,TN,253.9033333,0.664789023
Weedguard,1,Fall 2015,TN,271.6666667,4.217504528
BioAgri,1,Fall 2015,WA,260.68,5.439525102
Naturecycle,1,Fall 2015,WA,269.1033333,1.701179329
No Mulch,1,Fall 2015,WA,279.7133333,2.400016204
Organix,1,Fall 2015,WA,259,3.761440327
PLA/PHA,1,Fall 2015,WA,249.6666667,3.77528954
Polyethylene,1,Fall 2015,WA,252.24,2.820289583
Weedguard,1,Fall 2015,WA,263.6666667,10.93924789
BioAgri,1,Spring 2016,TN,302.97,5.905508728
Naturecycle,1,Spring 2016,TN,283.6433333,6.626392516
No Mulch,1,Spring 2016,TN,287.2633333,9.889786539
Organix,1,Spring 2016,TN,291.7766667,7.807981671
PLA/PHA,1,Spring 2016,TN,286.1266667,2.086794458
Polyethylene,1,Spring 2016,TN,281.4833333,5.035044963
Weedguard,1,Spring 2016,TN,284.39,5.531747765
BioAgri,1,Spring 2016,WA,269.5966667,9.243993245
Naturecycle,1,Spring 2016,WA,271.1233333,7.524303585
No Mulch,1,Spring 2016,WA,278.1633333,5.051261669
Organix,1,Spring 2016,WA,271.98,2.940680193
PLA/PHA,1,Spring 2016,WA,269.26,8.932817771
Polyethylene,1,Spring 2016,WA,270.13,4.354549345
Weedguard,1,Spring 2016,WA,270.1666667,5.569297781
BioAgri,1,Fall 2016,TN,299.42,8.191760088
Naturecycle,1,Fall 2016,TN,293.68,3.158121805
No Mulch,1,Fall 2016,TN,290.16,6.974553749
Organix,1,Fall 2016,TN,288.3966667,3.505354634
PLA/PHA,1,Fall 2016,TN,283.83,1.501343842
Polyethylene,1,Fall 2016,TN,271.0266667,5.783771357
Weedguard,1,Fall 2016,TN,288.3266667,9.604737257
BioAgri,1,Fall 2016,WA,271.7233333,3.432998366
Naturecycle,1,Fall 2016,WA,277.69,3.810279955
No Mulch,1,Fall 2016,WA,276.8033333,7.259149017
Organix,1,Fall 2016,WA,275.1366667,6.111721889
PLA/PHA,1,Fall 2016,WA,277.49,4.576639961
Polyethylene,1,Fall 2016,WA,275.1533333,4.208821424
Weedguard,1,Fall 2016,WA,276.66,2.067760463
