,Smple ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,Ph,TotalN,GravSoilMois,organicmatter,RespiredC,satH,satCa,satMg,satK,satNa
BDM05150001BF,101,Weedguard,1,15-May,Spring,TN,SpringTN,05-2015TN,2015,4.49,58,13.74331551,1.5,6.416718599,54,34,8,3,1
BDM05150002BF,102,BioAgri,1,15-May,Spring,TN,SpringTN,05-2015TN,2015,4.86,85,15.27777778,1.5,10.30068473,67,25,5,2,1
BDM05150003BF,103,PLA/PHA,1,15-May,Spring,TN,SpringTN,05-2015TN,2015,4.605,66,15.31850354,1.5,2.706314843,46,39,10,4,1
BDM05150004BF,105,Naturecycle,1,15-May,Spring,TN,SpringTN,05-2015TN,2015,4.62,47,16.46205357,1.7,8.6277387,45,40,10,4,1
BDM05150005BF,106,No Mulch,1,15-May,Spring,TN,SpringTN,05-2015TN,2015,5.215,97,15.67010309,1.9,1.385787126,46,41,8,4,1
BDM05150006BF,107,Organix,1,15-May,Spring,TN,SpringTN,05-2015TN,2015,5.18,55,11.75540327,1.4,9.054453677,50,38,7,4,1
BDM05150007BF,108,Polyethylene,1,15-May,Spring,TN,SpringTN,05-2015TN,2015,5.13,80,15.78666667,1.7,18.84867996,33,49,10,7,1
BDM05150008BF,201,PLA/PHA,2,15-May,Spring,TN,SpringTN,05-2015TN,2015,3.995,90,19.36205932,1.6,10.61460979,65,28,6,1,0
BDM05150009BF,202,No Mulch,2,15-May,Spring,TN,SpringTN,05-2015TN,2015,4.4,21,13.19742489,1.3,5.137262248,53,37,8,1,1
BDM05150010BF,203,Weedguard,2,15-May,Spring,TN,SpringTN,05-2015TN,2015,4.61,31,13.21230459,1.3,9.253682798,51,36,10,2,1
BDM05150011BF,204,BioAgri,2,15-May,Spring,TN,SpringTN,05-2015TN,2015,4.71,57,13.22272499,1.4,7.508101571,63,27,7,2,1
BDM05150012BF,205,Organix,2,15-May,Spring,TN,SpringTN,05-2015TN,2015,5.355,62,15.64738292,1.6,7.528852665,43,44,9,3,1
BDM05150013BF,206,Naturecycle,2,15-May,Spring,TN,SpringTN,05-2015TN,2015,5.285,44,14.81108312,1.5,3.081614173,16,69,11,3,1
BDM05150014BF,207,Polyethylene,2,15-May,Spring,TN,SpringTN,05-2015TN,2015,5.68,32,12.97297297,1.2,2.031066566,48,41,7,3,1
BDM05150015BF,301,Naturecycle,3,15-May,Spring,TN,SpringTN,05-2015TN,2015,4.235,43,14.68955073,1.5,4.709934639,51,35,11,2,1
BDM05150016BF,302,Weedguard,3,15-May,Spring,TN,SpringTN,05-2015TN,2015,4.66,36,13.85444744,1.3,4.476142285,41,43,13,2,1
BDM05150017BF,304,Polyethylene,3,15-May,Spring,TN,SpringTN,05-2015TN,2015,4.84,32,13.31236897,1.2,4.771065381,23,62,11,3,1
BDM05150018BF,305,BioAgri,3,15-May,Spring,TN,SpringTN,05-2015TN,2015,6.085,25,13.89172625,1.3,58.71768632,29,57,11,2,1
BDM05150019BF,306,PLA/PHA,3,15-May,Spring,TN,SpringTN,05-2015TN,2015,5.665,23,12.65822785,1.2,3.194189598,29,54,13,3,1
BDM05150020BF,307,No Mulch,3,15-May,Spring,TN,SpringTN,05-2015TN,2015,4.955,44,11.95097038,1.2,4.254159679,41,45,10,3,1
BDM05150021BF,308,Organix,3,15-May,Spring,TN,SpringTN,05-2015TN,2015,5.07,34,12.45972073,1.4,6.542633109,36,52,7,4,1
BDM05150029BF,101,Weedguard,1,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.2,14,20.46783626,2.3,13.22227717,40,47,8,4,1
BDM05150030BF,102,BioAgri,1,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.4,10,21.8579235,2.3,16.73779786,33,52,9,5,1
BDM05150031BF,103,PLA/PHA,1,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.2,13,22.22222222,2.2,12.95169094,34,51,9,5,1
BDM05150032BF,105,Naturecycle,1,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.1,9,21.76470588,2.2,10.92703873,35,50,9,5,1
BDM05150033BF,106,No Mulch,1,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.2,6,22.23476298,2.3,12.74269897,34,51,9,5,1
BDM05150034BF,107,Organix,1,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.2,8,22.42647059,2.2,10.94679646,34,52,9,4,1
BDM05150035BF,108,Polyethylene,1,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.2,6,21.49333333,2.5,13.10261405,36,50,8,5,1
BDM05150036BF,201,PLA/PHA,2,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.2,16,23.60604482,2.3,14.17316835,27,56,10,6,1
BDM05150037BF,202,No Mulch,2,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.2,12,22.29617304,2.4,14.62863052,40,47,7,5,1
BDM05150038BF,203,Weedguard,2,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.2,21,19.98577525,2.4,13.09500205,36,49,8,6,1
BDM05150039BF,204,BioAgri,2,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.1,15,21.25765164,2.3,15.54256075,34,51,8,6,1
BDM05150040BF,205,Organix,2,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.2,7,20.49736247,2.4,10.67141111,57,33,6,3,1
BDM05150041BF,206,Naturecycle,2,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.3,6,21.38038402,2.2,13.7474331,35,50,9,5,1
BDM05150042BF,207,Polyethylene,2,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.2,6,19.61414791,2.2,16.16885754,16,66,11,6,1
BDM05150043BF,301,Naturecycle,3,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.4,17,19.41896024,2.4,12.3287849,32,53,9,5,1
BDM05150044BF,302,Weedguard,3,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.4,17,21.12244898,2.5,14.5656793,25,59,9,6,1
BDM05150045BF,304,Polyethylene,3,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.1,12,21.83908046,2.4,20.14142608,49,39,7,4,1
BDM05150046BF,305,BioAgri,3,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.1,9,21.76165803,2.5,16.13511783,49,39,7,4,1
BDM05150047BF,306,PLA/PHA,3,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.2,10,22.59887006,2.3,15.35345069,56,34,6,3,1
BDM05150048BF,307,No Mulch,3,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.2,6,28.02547771,2.3,17.10240846,49,39,7,4,1
BDM05150049BF,308,Organix,3,15-May,Spring,WA,SpringWA,05-2015WA,2015,6.3,12,22.6744186,2.4,15.37231109,42,46,7,4,1
BDM05160001BF,101,Weedguard,1,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,23.32275546,,6.467224541,,,,,
BDM05160002BF,102,BioAgri,1,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,23.53487664,,4.928205102,,,,,
BDM05160003BF,103,PLA/PHA,1,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,22.52535568,,5.725974561,,,,,
BDM05160004BF,105,Naturecycle,1,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,22.4730891,,5.134057424,,,,,
BDM05160005BF,106,No Mulch,1,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,21.74001537,,1.780374792,,,,,
BDM05160006BF,107,Organix,1,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,22.10840242,,-0.096103125,,,,,
BDM05160007BF,108,Polyethylene,1,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,22.83717688,,4.738045607,,,,,
BDM05160008BF,201,PLA/PHA,2,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,22.34769186,,5.412301989,,,,,
BDM05160009BF,202,No Mulch,2,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,21.83536687,,6.699597781,,,,,
BDM05160010BF,203,Weedguard,2,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,21.66457843,,0.349770458,,,,,
BDM05160011BF,204,BioAgri,2,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,22.06501976,,4.523033984,,,,,
BDM05160012BF,205,Organix,2,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,22.23850461,,5.651313004,,,,,
BDM05160013BF,206,Naturecycle,2,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,21.79778595,,4.420077429,,,,,
BDM05160014BF,207,Polyethylene,2,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,21.67567223,,5.877885523,,,,,
BDM05160015BF,301,Naturecycle,3,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,23.64969866,,4.213030247,,,,,
BDM05160016BF,302,Weedguard,3,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,23.72020837,,6.899009279,,,,,
BDM05160017BF,304,Polyethylene,3,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,22.90078485,,8.683090529,,,,,
BDM05160018BF,305,BioAgri,3,16-May,Spring,WA,SpringWA,05-2016WA,2016,,,30.57552804,,5.577236193,,,,,
