,Smple ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,Ph,TotalN,GravSoilMois,organicmatter,RespiredC,satH,satCa,satMg,satK,satNa
BDM05150029BF,101,Weedguard,1,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.2,14,20.46783626,2.3,13.22227717,40,47,8,4,1
BDM05150030BF,102,BioAgri,1,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.4,10,21.8579235,2.3,16.73779786,33,52,9,5,1
BDM05150031BF,103,PLA/PHA,1,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.2,13,22.22222222,2.2,12.95169094,34,51,9,5,1
BDM05150032BF,105,Naturecycle,1,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.1,9,21.76470588,2.2,10.92703873,35,50,9,5,1
BDM05150033BF,106,No Mulch,1,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.2,6,22.23476298,2.3,12.74269897,34,51,9,5,1
BDM05150034BF,107,Organix,1,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.2,8,22.42647059,2.2,10.94679646,34,52,9,4,1
BDM05150035BF,108,Polyethylene,1,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.2,6,21.49333333,2.5,13.10261405,36,50,8,5,1
BDM05150036BF,201,PLA/PHA,2,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.2,16,23.60604482,2.3,14.17316835,27,56,10,6,1
BDM05150037BF,202,No Mulch,2,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.2,12,22.29617304,2.4,14.62863052,40,47,7,5,1
BDM05150038BF,203,Weedguard,2,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.2,21,19.98577525,2.4,13.09500205,36,49,8,6,1
BDM05150039BF,204,BioAgri,2,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.1,15,21.25765164,2.3,15.54256075,34,51,8,6,1
BDM05150040BF,205,Organix,2,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.2,7,20.49736247,2.4,10.67141111,57,33,6,3,1
BDM05150041BF,206,Naturecycle,2,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.3,6,21.38038402,2.2,13.7474331,35,50,9,5,1
BDM05150042BF,207,Polyethylene,2,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.2,6,19.61414791,2.2,16.16885754,16,66,11,6,1
BDM05150043BF,301,Naturecycle,3,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.4,17,19.41896024,2.4,12.3287849,32,53,9,5,1
BDM05150044BF,302,Weedguard,3,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.4,17,21.12244898,2.5,14.5656793,25,59,9,6,1
BDM05150045BF,304,Polyethylene,3,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.1,12,21.83908046,2.4,20.14142608,49,39,7,4,1
BDM05150046BF,305,BioAgri,3,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.1,9,21.76165803,2.5,16.13511783,49,39,7,4,1
BDM05150047BF,306,PLA/PHA,3,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.2,10,22.59887006,2.3,15.35345069,56,34,6,3,1
BDM05150048BF,307,No Mulch,3,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.2,6,28.02547771,2.3,17.10240846,49,39,7,4,1
BDM05150049BF,308,Organix,3,2015-05,Spring,WA,SpringWA,Spring2015WA,2015,6.3,12,22.6744186,2.4,15.37231109,42,46,7,4,1
BDM05160001BF,101,Weedguard,1,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,23.32275546,,6.467224541,,,,,
BDM05160002BF,102,BioAgri,1,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,23.53487664,,4.928205102,,,,,
BDM05160003BF,103,PLA/PHA,1,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,22.52535568,,5.725974561,,,,,
BDM05160004BF,105,Naturecycle,1,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,22.4730891,,5.134057424,,,,,
BDM05160005BF,106,No Mulch,1,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,21.74001537,,1.780374792,,,,,
BDM05160006BF,107,Organix,1,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,22.10840242,,-0.096103125,,,,,
BDM05160007BF,108,Polyethylene,1,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,22.83717688,,4.738045607,,,,,
BDM05160008BF,201,PLA/PHA,2,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,22.34769186,,5.412301989,,,,,
BDM05160009BF,202,No Mulch,2,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,21.83536687,,6.699597781,,,,,
BDM05160010BF,203,Weedguard,2,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,21.66457843,,0.349770458,,,,,
BDM05160011BF,204,BioAgri,2,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,22.06501976,,4.523033984,,,,,
BDM05160012BF,205,Organix,2,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,22.23850461,,5.651313004,,,,,
BDM05160013BF,206,Naturecycle,2,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,21.79778595,,4.420077429,,,,,
BDM05160014BF,207,Polyethylene,2,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,21.67567223,,5.877885523,,,,,
BDM05160015BF,301,Naturecycle,3,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,23.64969866,,4.213030247,,,,,
BDM05160016BF,302,Weedguard,3,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,23.72020837,,6.899009279,,,,,
BDM05160017BF,304,Polyethylene,3,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,22.90078485,,8.683090529,,,,,
BDM05160018BF,305,BioAgri,3,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,30.57552804,,5.577236193,,,,,
BDM05160019BF,306,PLA/PHA,3,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,22.44140684,,2.13613909,,,,,
BDM05160020BF,307,No Mulch,3,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,23.28824976,,6.99692159,,,,,
BDM05160021BF,308,Organix,3,2016-05,Spring,WA,SpringWA,Spring2016WA,2016,,,22.84016612,,4.835609047,,,,,
BDM09150029BF,101,Weedguard,1,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.9,34,22.10601379,2.2,4.53263277,37,50,8,4,1
BDM09150030BF,102,BioAgri,1,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.7,66,21.56862745,2.3,2.583288266,45,44,7,3,1
BDM09150031BF,103,PLA/PHA,1,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.8,48,20.11291461,2.2,2.478476903,36,50,9,3,2
BDM09150032BF,105,Naturecycle,1,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.9,43,21.74541948,2.2,3.759067367,62,31,5,2,0
BDM09150033BF,106,No Mulch,1,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.9,102,20.18244014,2.3,2.487275321,43,44,8,4,1
BDM09150034BF,107,Organix,1,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.7,25,20.79883098,2.2,3.631015578,45,44,7,3,1
BDM09150035BF,108,Polyethylene,1,2015-09,Fall,WA,FallWA,Fall2015WA,2015,6,6,17.39030554,2.2,2.076609627,68,25,4,2,1
BDM09150036BF,201,PLA/PHA,2,2015-09,Fall,WA,FallWA,Fall2015WA,2015,6,6,20.75750123,2.3,3.335969186,42,47,7,3,1
BDM09150037BF,202,No Mulch,2,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.8,72,19.48927969,2.4,3.353531009,63,31,4,2,0
BDM09150038BF,203,Weedguard,2,2015-09,Fall,WA,FallWA,Fall2015WA,2015,5.7,56,23.03536346,2.3,3.710374285,58,33,5,3,1
