,OTU,Sample,Abundance,Group,Smple.ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,Kingdom,Phylum,Class,Order,Family,Genus
110410,Otu061,BDM09160043BF,0.010284168,BDM09160043BF,301,Naturecycle,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
110416,Otu061,BDM09160034BF,0.009757798,BDM09160034BF,107,Organix,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
110418,Otu061,BDM09160045BF,0.009129114,BDM09160045BF,304,Polyethylene,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
110419,Otu061,BDM09160041BF,0.00902938,BDM09160041BF,206,Naturecycle,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
110422,Otu061,BDM09160038BF,0.008243029,BDM09160038BF,203,Weedguard,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
110427,Otu061,BDM09160029BF,0.007008659,BDM09160029BF,101,Weedguard,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
110428,Otu061,BDM09160030BF,0.006861308,BDM09160030BF,102,BioAgri,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
110431,Otu061,BDM09160031BF,0.006618306,BDM09160031BF,103,PLA/PHA,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
110438,Otu061,BDM09160036BF,0.005991305,BDM09160036BF,201,PLA/PHA,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
110439,Otu061,BDM09160039BF,0.005940789,BDM09160039BF,204,BioAgri,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
110440,Otu061,BDM09160032BF,0.00572779,BDM09160032BF,105,Naturecycle,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
